time,v,bsoc,i
703414,142140,49,6688
703914,142134,50,6690
704414,142130,51,6690
704914,142127,52,6688
705414,142123,53,6690
705914,142118,54,6690
706414,142113,55,6693
706914,142109,56,6693
707414,142105,57,6693
707914,142099,58,6690
708414,142095,59,6691
708914,142091,60,6691
709414,142086,61,6692
709914,142080,61,6688
710414,142079,62,6692
710914,142073,63,6693
711414,142070,64,6685
711914,142064,65,6690
712414,142060,66,6686
712914,142056,67,6688
713414,142051,68,6685
713914,142047,69,6692
714414,142043,70,6687
714914,142040,71,6688
715414,142035,72,6686
715914,142032,73,6686
716414,142028,74,6688
716914,142023,74,6684
717414,142020,75,6691
717914,142015,76,6687
718414,142011,77,6693
718914,142005,78,6687
719414,142003,79,6691
719914,141999,80,6695
720414,141993,81,6690
720914,141992,82,6689
721414,141987,83,6688
721914,141984,84,6693
722414,141980,85,6693
722914,141974,86,6688
723414,141970,87,6690
723914,141969,87,6691
724414,141964,88,6690
724914,141963,89,6689
725414,141957,90,6688
725914,141954,91,6690
726414,141953,92,6689
726914,141948,93,6689
727414,141945,94,6691
727914,141941,95,6692
728414,141940,96,6690
728914,141935,97,6691
729414,141934,98,6691
729914,141928,99,6689
730414,141923,100,6692
730914,141921,100,6690
731414,141918,101,6690
731914,141914,102,6690
732414,141911,103,6691
732914,141908,104,6692
733414,141905,105,6696
733914,141901,106,6689
734414,141898,107,6691
734914,141896,108,6690
735414,141893,109,6691
735914,141891,110,6691
736414,141889,111,6688
736914,141885,112,6688
737414,141880,113,6688
737914,141877,113,6692
738414,141874,114,6688
738914,141873,115,6692
739414,141869,116,6685
739914,141865,117,6690
740414,141861,118,6687
740914,141861,119,6685
741414,141856,120,6686
741914,141852,121,6692
742414,141850,122,6690
742914,141847,123,6693
743414,141843,124,6693
743914,141844,125,6689
744414,141839,126,6687
744914,141837,126,6688
745414,141833,127,6692
745914,141831,128,6693
746414,141830,129,6689
746914,141827,130,6688
747414,141825,131,6690
747914,141821,132,6691
748414,141820,133,6688
748914,141815,134,6688
749414,141813,135,6694
749914,141809,136,6697
750414,141805,137,6697
750914,141803,138,6697
751414,141800,139,6698
751914,141798,139,6694
752414,141796,140,6693
752914,141793,141,6693
753414,141788,142,6691
753914,141787,143,6694
754414,141784,144,6688
754914,141782,145,6692
755414,141779,146,6694
755914,141777,147,6688
756414,141776,148,6692
756914,141773,149,6691
757414,141769,150,6691
757914,141768,151,6691
758414,141765,152,6688
758914,141761,152,6690
759414,141758,153,6693
759914,141756,154,6691
760414,141755,155,6692
760914,141751,156,6693
761414,141748,157,6692
761914,141747,158,6690
762414,141742,159,6690
762914,141741,160,6689
763414,141739,161,6689
763914,141736,162,6688
764414,141733,163,6691
764914,141732,164,6688
765414,141732,165,6689
765914,141730,165,6685
766414,141727,166,6690
766914,141724,167,6692
767414,141721,168,6690
767914,141719,169,6689
768414,141716,170,6692
768914,141714,171,6689
769414,141711,172,6689
769914,141710,173,6690
770414,141708,174,6687
770914,141705,175,6687
771414,141705,176,6692
771914,141702,177,6686
772414,141700,178,6692
772914,141697,178,6689
773414,141694,179,6689
773914,141692,180,6691
774414,141689,181,6693
774914,141690,182,6691
775414,141687,183,6694
775914,141681,184,6695
776414,141680,185,6692
776914,141677,186,6689
777414,141677,187,6692
777914,141676,188,6692
778414,141675,189,6690
778914,141671,190,6692
779414,141667,191,6686
779914,141664,191,6688
780414,141662,192,6688
780914,141659,193,6689
781414,141660,194,6687
781914,141658,195,6687
782414,141656,196,6689
782914,141654,197,6692
783414,141653,198,6689
783914,141649,199,6692
784414,141647,200,6690
784914,141646,201,6693
785414,141646,202,6689
785914,141642,203,6692
786414,141641,204,6692
786914,141640,204,6692
787414,141638,205,6687
788414,141633,207,6689
788914,141633,208,6689
789414,141632,209,6688
789914,141630,210,6689
790414,141628,211,6687
790914,141625,212,6686
791414,141625,213,6688
791914,141623,214,6687
792414,141619,215,6690
792914,141615,216,6693
793414,141616,217,6691
793914,141612,217,6690
794414,141609,218,6689
794914,141610,219,6688
795414,141609,220,6689
795914,141605,221,6693
796414,141605,222,6689
796914,141602,223,6690
797414,141599,224,6686
797914,141597,225,6689
798414,141596,226,6692
798914,141595,227,6689
799414,141592,228,6690
799914,141589,229,6687
800414,141589,230,6691
800914,141587,230,6689
801414,141585,231,6691
801914,141582,232,6688
802414,141582,233,6687
802914,141580,234,6688
803414,141578,235,6688
803914,141577,236,6689
804414,141575,237,6690
804914,141574,238,6688
805414,141571,239,6688
805914,141570,240,6690
806414,141567,241,6690
806914,141567,242,6691
807414,141566,243,6692
807914,141564,243,6693
808414,141564,244,6692
808914,141562,245,6693
